,company_name,position,salary,location,experience,education,time,location_detail,keyword,description,position_link
0,贝业思研发部招聘,算法工程师,15k-28k,西安,经验1-3年,硕士及以上,全职,西安-高新技术产业开发区-沣惠南路-科技二路与沣惠南路十字泰华金贸国际,"大数据,NLP,数据挖掘,数据分析",岗位职责：1.大数据算法的设计、实现、开发、调试和优化；2.负责客户画像、精准营销及风险预警系统的数据分析和挖掘；3.参与搜索系统中的机器学习和语义分析模型开发;4.进行大数据智能业务的策略研发工作，运用前沿AI算法解决实际问题。职位要求：1.计算机/数据分析/统计学/经济学/金融工程专业硕士及以上学历1年经验即可，或本科学历具有2年以上工作经验；2.扎实的统计学、数据分析、数据挖掘基础和统计建模能力；3.掌握常用算法原理，熟悉数据挖掘、机器学习，尤其是关联分析、分类预测、聚类分析、协同过滤、时间序列分析等常用分析方法；4.了解spark框架结构及运行原理，能独立设计并实现spark/mapreduce程序者优先；5.掌握C/C++/Java/Python等至少一门高级编程语言，精通python者优先，熟悉MYSQL;6.具备良好的沟通能力，思维活跃，有较强的学习能力和创造力。,https://www.lagou.com/jobs/3802151.html
1,星垂智能招聘,Android开发经理,25k-40k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-绿地中心A座,"移动端,Android","星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于影藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。
公司提供完善的福利制度和行业内 Top 5% 的薪资。我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。

薪资福利
- 25k 起，可以沟通，保证市场上前 5% 的薪水
- 五险一金以及其他法律规定的员工基础福利
- 每年至少一次的国外旅行或者到其他国家办公室访问机会
- 产假（无论性别）
- 健身房会员
- 其他人性化的福利政策

岗位职责
- 负责产品 Android 端 App 平台的开发、架构设计、性能优化、产品迭代
- 负责Android 端新技术研究、功能扩展
- 带领团队一起定义，设计，和发布新功能
- 识别并纠正产品瓶颈以及修复 BUG
- 主导维护代码质量，组织结构和自动化过程

任职要求
- 2年以上 Android 开发经验，至少有一款成功上线运营的 APP
- 熟悉 Android 的官方设计规范
- 熟悉 Java 语言，数据结构，常用的算法
- 开发基础良好，理解设计模式，在项目或产品中有很好的设计实践
- 对 Android 的 UI 开发非常熟悉，并有自己的 UI 架构心得和经验
- 熟悉 Android 常用的框架和原理，熟练使用 Rxjava，Retrofit，Eventbus 等
- 熟练使用 Android 调试工具，可以快速定位查找问题，有相关的网络优化、内存优化、性能调优经验
- 基本功扎实，可以应付各种 Android 复杂问题，并迅速给出解决方案
- 熟练掌握 Android 下服务、线程、进程的通信机制
- 了解不同应用商店的上线规范和相关的审核机制

- 优先考虑拥有软件工程、计算机及电子工程的学士或硕士学位的候选者
- 优先考虑有 Web 开发技术和 Hybrid app 混合开发经验的候选者
- 优先考虑有多个完整 Android 项目经验，至少至少参加过一个完整的商业级手机应用项目的技术框架搭建、关键技术选型工作的候选人",https://www.lagou.com/jobs/5317800.html
2,航语科技华为西安DC部门岗位招聘,软件开发工程师,30k-55k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-锦业路127号,"Java,MySQL","职位描述：
1、负责政务云服务、政务大数据项目的需求分析、软件架构设计、集成架构设计；2、外包开发团队管理，评估实现需求所需的工作量，对开发项目进行总体管理，符合进度、质量和成本要求； 3、自研政务云服务的营销和交付资料开发，推动解决方案销售，与客户就需求进行沟通与澄清；4、关键项目拓展支持和交付。6、作为软件开发骨干，带领外包开发团队实现版本需求； 
任职要求：1、本科以上，计算机科学、软件工程相关专业2、3年以上政务项目、政务管理平台相关开发经验，太极、东软、新华三、浪潮、阿里、腾讯相关工作经历优先3.必须有数据或云相关项目经验的java开发研发经验",https://www.lagou.com/jobs/5492706.html
3,细刻科技招聘,独立站运营经理（西安）,20k-30k,西安,经验3-5年,大专及以上,全职,西安-高新技术产业开发区-锦业一路52号宝德云谷国际B栋13层1号,"电商,项目管理","岗位职责：
1.负责公司B2C独立网站销售团队建设，完成公司每个阶段销售目标；
2.负责部门人员业务工作的指导，管理和监督，并实施相应的绩效考核；
3.负责平台的运营，销售及管理工作；
4.负责制定并执行平台营销销售策略和销售计划；
5.负责独立站内的产品分析（商品定价、确定主推商品、分析销售情况），产品销售（商品上架、商品销售、配合推广促销），产品促销（策划活动方案、执行促销活动、协助促销宣传），产品编辑，带领团队达成以盈利为导向的销售目标；制定各阶段的销售目标以及完成情况进行统计、分析、汇报和总结。
6.培养内部优秀员工，明确公司每个阶段的目标，打造一支有活力的团队；
7.关注竞争对手独立站营销模式，不断的学习与超越。

任职要求：
1、本科以上学历，英语听说熟练，两年以上跨境电商独立站管理运营经验；
2、熟悉外贸B2C网站的运营和盈利模式，具有运营平台战略规划、网站宣传推广、活动策划及日常运营管理等方面的专长；
3、了解网上购物者的购物习惯和购物心理；熟悉各平台营销推广工具和推广方式，能制定切实可行的推广方案;
4、 对电子商务网站、店铺的整体框架建设、网络营销、数据库营销及客户管理等方面有深刻认识;
5、有环球易购/兰亭集势/有棵树/棒谷等电商公司项目经理（服装）运营经验者优先考虑。

公司为您提供完善的个人发展平台，成功加入细刻您将享受:
1、上班时间：5天8小时制，1-9月份双休，10-12月份单双休轮休，旺季！你懂得！
2、弹性工作制：（9：00-18：00 or 10：00-19：00）避开拥挤的上班人潮，完美错开早晚高峰。
3、基本保障：五险一金、工作日餐补、带薪年假都是妥妥的，且年假最高可达15天！
4、晋升通道：90%以上管理岗都是内部选拔提升，升职 加薪 迎娶白富美，指日可待！
5、培训体系：不清晰职业发展通道？担心发展有局限？细刻学院满足你！公司设立细刻学院，为员工的职业发展规划提供各种内训或外训。
6、富有竞争力的薪酬体系：高于市场平均薪资的薪资水平，保障你为公司努力付出，就一定会有收获！
7、生日福利：总有人记挂着你，并为你的生日精心准备！公司专门定做蛋糕、邀帅哥美女陪你一起happy。
8、节假日福利：端午、中秋、圣诞……各种节假日，担心一个人度过无聊吗？公司暖心开party！并准备各种礼物福利，让你安心工作的同时，开心生活。
9、设部门月度活动经费，用于部门伙伴聚餐、唱K、羽毛球等团建活动。这些还不够，每年不定期还会举行多次员工集体活动，让您在细刻工作期间，收获的不仅仅经验，更多的还有快乐，甚至男/女盆友（偷偷爆料，公司美女帅哥，不是一般的多哦）~",https://www.lagou.com/jobs/4540657.html
4,数云研发部招聘,大数据平台架构师（西安）,18k-30k,西安,经验5-10年,大专及以上,全职,西安-高新技术产业开发区-光华路-高新三路人保大厦18楼1807室,"大数据,架构师","岗位描述：
1、 规划大数据平台的架构和部署需求，把握系统的高可用、扩展性、安全性、性能、伸缩性等；
2、 负责大数据平台的技术选型、大数据系统架构设计、整体框架实现、核心代码编写、技术文档编写等；
3、 负责大数据项目的技术把关，控制架构质量，解决项目开发过程中的技术难题，优化现有框架的性能瓶颈；
4、 负责数据基础架构和数据处理体系的升级和优化，不断提升系统的稳定性和效率，为公司的业务提供大数据底层平台的支持和保证；
5、 负责建立和维护大数据平台技术标准规范，组织技术团队成员在遵循整体架构规范下，落实高质量的项目实施；
6、 研究大数据前沿技术，改进现有系统的设计和实现，制定大数据平台发展战略规划
 
岗位要求：
1、5年以上大数据项目实战经验，3年以上大数据平台架构建设经验，熟悉Hadoop、Hbase、Storm、Spark的工作原理，并有相应平台性能调优经验；
2、熟悉LINUX，JAVA基础扎实，掌握IO、多线程、集合等基础框架，熟悉分布式、缓存、消息等机制，熟悉脚本编程；
3、熟悉其它分布式存储相关技术，包括HDFS、Hive、Kafka、Zookeeper、ElasticSearch、Redis、Mongodb、Cassandra等
4、熟悉分布式系统的监控、运维、故障恢复，高可用原理和设计理念；
5、深刻理解大数据处理(流计算、分布式计算、分布式文件系统、分布式存储)等相关技术和实现方法；
6、熟悉OLAP，有海量数据即席查询系统设计和研发经验；
7、具有强烈的目标感、良好的服务意识、团队精神和自我驱动力，能承担一定压力，有很强的分析和解决问题的能力，有强烈的责任心；
8、负责过大型互联网公司数据平台架构的经验优先",https://www.lagou.com/jobs/4546675.html
5,WisdomGarden研发部招聘,Java高级工程师,13k-26k,西安,经验5-10年,学历不限,全职,西安-高新技术产业开发区-锦业一路龙旗科技园,,"职位描述：开发和维护公司的教育软件产品，主要基于B/S架构。我们希望你：有扎实的编程功底，热爱编程有java相关技术栈的web开发经验，虽然在这里你将绝不会只用一种语言和技术编程热爱且善于学习和钻研各种新技术、新语言英语水平能够支撑自己及时获取和交流最新的技术信息有良好的团队合作精神,有责任感,有较好的沟通能力我们可以提供给你的是：与国内最有经验的敏捷软件开发团队一起工作的机会，你将有机会采用最先进的技术，实践最极限的敏捷软件开发结合领先的教育理念和技术，为改善教育行业做贡献",https://www.lagou.com/jobs/592516.html
6,Yeahmobi招聘,高级系统运维工程师,16k-28k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-天谷八路软件新城二期A3-1西侧,"信息安全,云计算,运维,信息安全","岗位职责：
线上和线下阿里云系统及云服务的规划（包括网络规划，安全规划，容量规划等），系统的运维、优化及业务系统的自动化发布，系统及业务监控报警的规划和维护工作
    
岗位要求：
1、熟悉服务器、存储的巡检和监控; 
2、熟悉系统事件监测、通知、升级、故障隔离及解决;
3、熟悉各类虚拟化容器镜像的构建如docker等； 熟悉虚拟化调度框架的运行及维护 包括Mesos（Marathon）， Kubernetes等
4、熟悉系统安全加强、系统补丁程序管理，保证系统更加稳定和安全的运行; 
5、熟悉虚拟化场景下业务系统系统部署、升级扩容; 
6、熟悉VPC及网络规划，能够根据业务进行整体业务网络的划分和网络安全规划
7、掌握一门脚本语言Python或者Shell; 
8、熟悉自动化工具的使用如Ansible
9、熟悉多个阿里云产品，有多年阿里云系统运维经验优先",https://www.lagou.com/jobs/4569566.html
7,庖丁科技招聘,C++工程师,18k-30k,西安,经验不限,本科及以上,全职,西安-高新技术产业开发区-唐延路-唐延路11号西安国寿金融中心A座8楼804,C++,"精通 C/C++ 语言编程，熟练使用 Qt；
熟悉 Window 操作系统和 VS 开发环境，熟悉 mingw/cygwin 等环境；
精通 常用操作系统下的TCP/IP协议栈接口、Socket、IPC、多进程、多线程、文件系统等；
对数据结构和算法设计具有较深刻的理解；
善于学习和运用新知识，具有良好的分析和解决问题能力；
 具有良好的团队合作精神和积极主动的沟通意识 。 

加分项：

有实际应用的Windows 客户端项目；
Github 有项目超过 100 star，或给大型项目贡献过代码;
写技术博客（或微信公众号）2 年以上，或者 50 篇以上。",https://www.lagou.com/jobs/5091942.html
8,西安卓派信息科技有限公司MIS招聘,Java高级开发工程师,25k-40k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-沣惠南路-沣惠南路34号摩尔中心A座2102,"移动互联网,后端,分布式,全栈,Java","我们的团队：
如果你不只满足于机械的码代码，如果你对新技术仍然具有好奇心和热情，如果你希望自己感兴趣的技术会在日常工作中实践并产生价值，如果你想技术能力，沟通能力，英语表达能力都有质的提升，那么，我们团队一定会是你的选择。像所有创业型公司一样，我们后端团队在抗住了大量业务需求的洗礼之后，回头看我们的代码——一地鸡毛。于是，我们和美国工程师团队一起，开始了从Monolithic Architecture到Microservices，从传统的需求拆解分派到scrum，从手动部署到基于Circel CI的 CI/CD, 再到基于docker的service虚拟化，基于kubernetes的容器编排发布等一系列的改变。同时，为了能做到自动化运维，我们加入了Prometheus, Jaeger, Grafana等工具来对我们系统做实时监控，确保服务的高可用。重要的是，这一切的改变正在进行，不舍昼夜。经过三年的努力，团队里的每个成员都在和公司一起快速成长，他们崇尚技术，注重分享，勇于迎接挑战，对工作严谨负责，像这样处在变革中的飞速成长的团队，值得每一位对自己有要求有期待的程序员加入。
Experience
• 7+ years of full stack engineering experience.
• Track record of delivering products within a service oriented, microservice, or other modern architecture.
• Meaningful hands-on experience leveraging cloud infrastructure, implementing or utilizing CI/CD pipelines or operational tooling for large software systems.
• Strong verbal and written communication skills and able to communicate effectively to technical and non-technical team members.
• Motivated by a sense of urgency and ownership.
BS Degree in Computer Science or related field; or equivalent professional experience.
• Good command of English, both orally and in writing
Preferred 
• Graduate degree in Computer Science.
• Proven track record of delivering event streaming architectures.
• Hands-on experience in operating software systems in AWS.
Engaged in the open source software community.
• Strong sense of customer empathy.
• In love with coding.
薪酬福利：
1.六险一金；
2.国家法定节假日与带薪年休假；
3.有竞争力的薪酬及福利；
4.加班晚餐补贴及交通补贴
5.其他福利：水果零食+生日礼物+节日礼物+宝宝礼金+新婚礼金+定期旅游+“五四”青年节假期+“六一”儿童节假期+“三八”妇女节假期
关于我们：
NEXT Trucking是全美首个以货车车主与小型车队为中心、连接货主与车主的网络平台，目前已完成由红杉资本领投的B轮融资。西安卓派信息科技有限公司作为NEXT Trucking在中国设立的子公司，负责为整个NEXT Trucking所运营的网站以及多种产品提供专业的研发、培训和技术支持。",https://www.lagou.com/jobs/2361627.html
9,寄云科技营销中心招聘,高级销售经理,13k-26k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-锦业一路研祥城市广场,"云计算,大数据,客户代表,区域销售,大客户销售,市场拓展","岗位职责：1、 负责大型及超大型企业客户的销售商机挖掘和需求沟通，推动公司的产品销售；
2、 推动区域目标行业客户及合作伙伴的建立与维护，按照公司要求扩大区域销售网络；
3、 负责公司签约项目的实施跟进及合同收款，达成公司下达的业绩指标。

任职要求：1、 28-38岁，本科及以上学历，形象气质佳，男女不限；
2、 对于云计算，大数据，物联网，自动化等智能制造领域的知识比较熟悉，有2年以上的相关领域的销售工作经验；
3、具有专业的商务演讲和谈判的能力和技巧，以及较强的公关能力和行业开拓能力；
4、工作专业有激情，做事诚信讲原则，有正确的价值观，没有任何违法乱纪的工作背景；
5、有极强的责任心，能吃苦耐劳，能接受出差，能承受较大的工作压力和挑战。

以下情况可优先考虑并可放宽学历及年龄条件：
1、有1年及以上工业互联网领域工作经验者；
2、熟悉至少1-2个工业领域，有轨道交通、石油能源等行业工作经验者。",https://www.lagou.com/jobs/5379086.html
