,90天以上逾期笔数,90天以上逾期金额,借贷余额,关联关系借款余额,关联关系借款笔数,利息余额,前十大借款人待还金额占比,当前借款人数,当前出借人数,待还笔数,最大单一借款人待还金额占比,稳健运营天数,累计代偿笔数,累计代偿金额,累计借款人数,累计借贷笔数,累计出借人数,逾期笔数,逾期金额,项目逾期率
0,0 笔,0.00 元,58.54 亿元,,,,16.72%,,,,2.77%,1015 天,,,2518915 人,15182 笔,107553 人,0 笔,0.00 元,0.00%
1,0 笔,0.00 元,57.85 亿元,,,,17.18%,,,,3.19%,1046 天,,,2792692 人,19530 笔,108183 人,0 笔,0.00 元,0.00%
2,0 笔,0.00 元,57.48 亿元,,,,17.90%,,,,3.50%,1077 天,,,3043030 人,20862 笔,108847 人,0 笔,0.00 元,0.00%
3,0 笔,0.00 元,60.44 亿元,,,,20.34%,,,,3.86%,1107 天,,,3542288 人,22514 笔,110026 人,0 笔,0.00 元,0.00%
4,0 笔,0.00 元,61.65 亿元,,,,20.58%,,,,4.00%,1138 天,,,4010447 人,27086 笔,111613 人,0 笔,0.00 元,0.00%
5,0 笔,0.00 元,60.70 亿元,,,,19.06%,,,,4.68%,1168 天,,,4370625 人,53060 笔,112270 人,0 笔,0.00 元,0.00%
6,0 笔,0.00 元,55.49 亿元,0.00 元,0 笔,28256.21 万元,19.76%,792711 人,68243 人,53897 笔,5.73%,1199 天,0 笔,0.00 元,4623045 人,72584 笔,113065 人,0 笔,0.00 元,0.00%
7,0 笔,0.00 元,47.91 亿元,0.00 元,0 笔,20486.68 万元,0.1946,633268 人,67867 人,58074 笔,0.0598,1230 天,0 笔,0.00 元,4857111 人,82393 笔,112414 人,0 笔,0.00 元,0
8,0 笔,0.00 元,24.39 亿元,0.00 元,0 笔,9248.75 万元,3.42%,290746 人,65219 人,47203 笔,1.64%,1258 天,0 笔,0.00 元,4859791 人,85386 笔,112545 人,0 笔,0.00 元,0.00%
9,0 笔,0.00 元,22.42 亿元,0.00 元,0 笔,8734 万元,0.40%,492169 人,63846 人,79905 笔,0.04%,1289 天,22593 笔,6000.8 万元,4896478 人,122849 笔,113379 人,0 笔,0.00 元,0.00%
10,0 笔,0.00 元,21.62 亿元,0.00 元,0 笔,8241 万元,0.40%,361431 人,62736 人,119146 笔,0.04%,1319 天,34294 笔,9108.48 万元,4953023 人,179684 笔,113854 人,0 笔,0.00 元,0.00%
11,0 笔,0.00 元,22.40 亿元,0.00 元,0 笔,9499.74 万元,0.40%,178692 人,62264 人,154498 笔,0.04%,1350 天,52081 笔,12075.36 万元,5038787 人,266532 笔,114913 人,0 笔,0.00 元,0.00%
12,0 笔,0.00 元,26.48 亿元,0.00 元,0 笔,11072.81 万元,0.37%,186601 人,62172 人,175802 笔,0.04%,1380 天,73919 笔,15816.35 万元,5112932 人,340677 笔,116216 人,0 笔,0.00 元,0.00%
13,0 笔,0.00 元,25.84 亿元,0.00 元,0 笔,10956 万元,0.38%,150091 人,61869 人,148654 笔,0.04%,1411 天,73919 笔,15816.35 万元,5127465 人,355190 笔,117035 人,0 笔,0.00 元,0.00%
14,0 笔,0.00 元,25.33 亿元,0.00 元,0 笔,10047 万元,0.39%,135723 人,41280 人,133151 笔,0.04%,1442 天,73919 笔,15816.35 万元,5127726 人,355553 笔,117295 人,0 笔,0.00 元,0.00%
15,0 笔,0.00 元,25.13 亿元,0.00 元,0 笔,9319 万元,0.39%,118486 人,38326 人,117938 笔,0.04%,1472 天,73919 笔,15816.35 万元,5130762 人,361304 笔,117622 人,0 笔,0.00 元,0.00%
16,0 笔,0.00 元,25.64 亿元,0.00 元,0 笔,9287.66 万元,0.78%,104283 人,27247 人,100036 笔,0.80%,1503 天,73919 笔,15816.35 万元,5133096 人,364327 笔,118028 人,0 笔,0.00 元,0.00%
17,0 笔,0.00 元,26.90 亿元,0.00 元,0 笔,10797.89 万元,0.78%,73792 人,26859 人,73637 笔,0.08%,1533 天,73919 笔,15816.35 万元,5133329 人,367224 笔,118435 人,0 笔,0.00 元,0.00%
18,0 笔,0.00 元,27.51 亿元,0.00 元,0 笔,10329.74 万元,0.72%,73792 人,25966 人,51794 笔,0.07%,1564 天,73919 笔,15816.35 万元,5133549 人,385717 笔,118794 人,0 笔,0.00 元,0.00%
19,0 笔,0.00 元,29.23 亿元,0.00 元,0 笔,10727.45 万元,0.68%,47549 人,26777 人,46620 笔,0.07%,1595 天,73919 笔,15816.35 万元,5133549 人,409603 笔,119468 人,0 笔,0.00 元,0.00%
20,0 笔,0.00 元,31.42 亿元,0.00 元,0 笔,10840.45 万元,0.64%,49033 人,28292 人,49682 笔,0.06%,1623 天,73919 笔,15816.35 万元,5133680 人,423311 笔,120624 人,0 笔,0.00 元,0.00%
21,0 笔,0.00 元,32.27 亿元,0.00 元,0 笔,10869.96 万元,0.31%,39183 人,28445 人,39434 笔,0.03%,1654 天,73919 笔,15816.35 万元,5134460 人,444556 笔,121159 人,0 笔,0.00 元,0.00%
22,0 笔,0.00 元,32.60 亿元,0.00 元,0 笔,10653.43 万元,0.31%,27819 人,27863 人,28048 笔,0.03%,1684 天,53348 笔,17774.55 万元,5134627 人,445393 笔,121550 人,0 笔,0.00 元,0.00%
