,company_name,position,salary,location,experience,education,time,location_detail,keyword,description,position_link
0,星垂智能招聘,高级Python后端开发工程师,15k-25k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-绿地中心A座,"后端,Python,docker","
星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于影藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。
公司提供完善的福利制度和行业内 Top 5% 的薪资。我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。

薪资福利
 - 初级工程师 15k, 中级工程师 20k, 高级工程师 25k 起，可以沟通，保证市场上前 5% 的薪水
- 五险一金以及其他法律规定的员工基础福利
- 每年至少一次的国外旅行或者到其他国家办公室访问机会
- 产假（无论性别）
- 健身房会员
- 其他人性化的福利政策

工作职责 
- 负责制定和改良开发规范，持续改进代码稳定性和可靠性
- 负责服务架构优化，解决重要技术问题
- 识别并纠正产品瓶颈以及修复 BUG

职位需求
- 熟悉 Python, 三年以上工作经验
- 熟悉数据库知识
- 熟悉 Clean Code, 代码重构等概念并且有实践经验
- 熟悉 Linux 系统下的系统管理 (Docker/Process/Build)
- 良好的代码习惯和 GitHub 协作能力
- 基本的英文沟通能力，英文文档写作能力

- 优先考虑拥有软件工程、计算机及电子工程的学士或硕士学位的候选者
- 优先考虑有 统计/数据分析/机器学习 经验的候选人
",https://www.lagou.com/jobs/5317813.html
1,嘉泰网络开发部招聘,开发工程师,10k-18k,西安,经验1-3年,本科及以上,全职,西安-高新技术产业开发区-高新路-火炬大厦1608室,"PHP,Java,Javascript,ASP","
        特别要求：日语2级以上水平，请应聘着注意这条特别要求！ 
学历要求：计算机及信息工程专业本科以上学历 
岗位要求：对C、C++、PHP、Java、Asp、.net等语言熟悉或精通2-3项，有日企IT公司从业经历者，单独或团队操作2个项目以上者 
待遇：根据个人项目操作经验及沟通能力，待遇优厚。
        ",https://www.lagou.com/jobs/5054146.html
2,西安诚优网络招聘,资深PHP开发工程师,13k-16k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-唐延路11号禾盛京广中心E座（5号楼）9层,PHP,"
工作职责：
1、根据公司产品发展方向，负责较高难度的软件设计、核心重要模块开发，有很强的质量意识；
2、编写制订各项技术方案；
3、负责较高难度的需求分析；
4、优化系统运行的各种问题，了解系统内部流程，发现系统潜在问题，提出解决方案，并解决；
5、对新技术进行预研，并能分享提升团队技术能力，并能将研究成果应用于系统架构设计中。

职位要求：
1、有扎实的软件理论基础，深刻理解面向对象编程，良好的面向对象分析设计能力；
2、有3年以上PHP工作经验或架构师经验，精通PHP语言，熟悉前端技术，对项目整个开发周期及各个环节能够整体把控并提供技术支持；
3、熟悉常用PHP开源框架；
4、具备优秀的编程能力，熟练掌握常用数据结构和算法；
5、可承受较大的工作压力，有团队意识和钻研精神；对工作有极高的热情，踏实、勤奋；具有创造力、活力；
6、熟悉移动广告系统，有带过3-6人团队优先。


员工福利：周末双休、五险一金、年终奖金、员工旅游、专业培训、假日福利
上班时间：上午：9:00-12:00；下午1:30-6:00
",https://www.lagou.com/jobs/4962732.html
3,西部机场集团悦泰科技公司应用研发部招聘,数据工程师,10k-20k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-锦业路,大数据,"
岗位描述：
1.     参与数据产品的微服务和组件化设计和实现。
2.     编写产品相应模块的设计文档
3.     能够独立完成产品相应模块的设计、开发、单元测试；
4.     参与软件开发过程中的技术攻关，能够指导其它项目成员的开发工作。
5.    高质量完成编码工作，确保代码和组件的质量，具有高可维护性、可拓展及健壮性。
6.     参与数据仓库建设和规划，数仓模型设计和实现, 熟悉常用的指标分析方法、数据分析工具和平台，了解数据分析的基本方法和常见问题，能对项目开发工作提出建设性意见。
7.     参与数据产品、工具、平台规划和实现，基于传统数据仓库数据建模或 Hadoop体系架构的数据建模，构建可扩展的数据仓库，进行面向主题的数据集市的建设和规划，能支撑高速增长的业务；
8.     参与数据仓库ETL、存储过程、脚本等的开发，参与业务相关数据的指标计算和分析挖掘，参与数据仓库ETL流程的优化及ETL相关技术问题的解决；
9.     依据项目业务特点，进行数据存储、数据备份、数据迁移、数据归档设计，能够指导开发人员开发数据模型的访问服务及其API接口以供其它系统或组件调用；
10.  参与数据质量问题的分析、跟进、解决，跟踪并分析公司相关数据产品，为产品创新、产品设计优化提供方案支持；
 
任职要求：
1.全日制本科及以上学历，计算机科学类或其他相关理工科专业，对数据仓库系统架构具有良好的认识； 2.精通Java语言（熟悉设计模式、多线程、网络通信、分布式编程技术），同时掌握python和scala语言者优先，熟悉Dubbo和Spring Cloud等常用技术框架; 3.有实际的数据仓库开发或数据建模经验，能根据项目要求构建数据存储、计算、分析模型，有解决大数据量的技术能力； 4.熟悉大数据生态系统组件，并有项目实战经验，如：Spark、MapReduce、HBase、Hive、ZooKeeper、YARN、HDFS等或流计算框架Spark Streaming、Storm等; 5.熟悉oracle关系数据库，熟悉Redis或MongoDB等至少一种NoSQL数据库; 6.熟悉Linux操作系统，对shell编程有一定了解; 7.有良好的数据分析意识和产品意识，能够从海量数据中发现有价值的规律; 8.具备良好沟通能力和团队合作精神，工作认真细致，责任心强，具有良好的编程基础及编程习惯; 9.积极主动,具备较强的分析解决问题的能力，以及优秀的逻辑思维能力，对有挑战的问题充满激情;
",https://www.lagou.com/jobs/5557456.html
4,西软股份投资事业部招聘,java,10k-16k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-天谷八路软件新城二期A1302室,"J2EE,Java","
1.本科及以上学历，计算机相关专业；熟悉Java编程语言，3年以上J2EE开发经验；
2.熟悉struts/spring/Hibernate等框架，熟悉设计模式，有多层体系结构设计经验；
3.有扎实的javascript编程功底，熟练使用ExtJs、JQuery、AngularJs等前端框架(至少理解一种)；
4.熟悉Oracle，MySql等主流数据库，有数据库优化经验；
5.熟悉http、socket通信，了解多线程、高并发技术；.逻辑思维能力、学习能力强，做事有条理；.必须具备较强的分析问题和独立解决问题的能力；有大型网站或html5手机端开发经验优先考虑。
",https://www.lagou.com/jobs/4119411.html
5,泰为CloudService招聘,SeniorJavaEngineer-搜索...,15k-25k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-沣惠南路-团结南路11号,"C++,Java,算法","
工作职责：
1. 参与导航系统智能搜索引擎开发，专注于搜索引擎质量和性能优化、搜索语义分析、自然语言处理等方面。
2. 团队合作，与同事一起参与产品开发的整个生命周期。包括: 原型，设计，实现。开发出高性能，可扩展，易于维护的数据处理平台和搜索服务。
3. 使用敏捷开发方式，协调本地及美国团体，推动产品高质量按时交付。
4. 编写高质量的代码，设计文档，单元测试。  

任职要求：
1. 计算机及相关专业，本科以上学历。
2. 3年以上Java开发经验，或C++开发经验且愿意转Java方向。
3. 至少掌握以下2种通用知识技能：数据结构和算法，面向对象编程，设计模式，数据库原理。
4. 具有很强的分析和解决问题能力，快速学习能力。
5. 如具有自然语言处理，语义分析，Lucene/Solr或其他搜索引擎方面经验优先考虑。
6. 如具有嵌入式开发(QNX/Android/…)经验优先考虑。
",https://www.lagou.com/jobs/4754079.html
6,绿盟科技招聘,Web安全SaaS服务研发(J11624),10k-18k,西安,经验1-3年,本科及以上,全职,西安-高新技术产业开发区-科技二路-丈八四路神州数码科技园,"信息安全,前端开发","
工作职责:1、负责云平台、云服务编码实现产品开发；2、负责SaaS Web安全服务产品的研发3、参与云平台模块功能编码实现以及分布式开发部署；4、参与公有云云端系统架构设计工作；任职资格:1、教育程度：大学本科及以上学历，计算机、电子、自动化等相关专业；2、熟悉Python/C/C++/Golang/Ruby/Java, 或其他开发语言；3、熟悉常用数据库（如：MySQL、Postgresql、SQLServer、Oracle或其他常见数据库之一）；4、熟悉linux系统，了解常用功能并具有脚本编程能力；5、熟悉安全产品和SaaS服务产品特点和运作运维方式；6、使用过公有云，对云平台相关技术有一定了解，有Docker、K8S等相关技术有实践经验优先；7、具备团队合作精神，积极的工作态度和较强的责任心，良好的沟通和学习能力。 加分项：1、有爬虫，篡改，web安全监测类产品经验者可优先考虑2、有大数据处理、机器学习、大数据存储相关的经验，熟悉常用的nosql数据库3、有分布式计算、分布式存储平台相关开发经验等4、对网络感兴趣，了解路由交换等网络技术5、对HTTP协议有深入理解
",https://www.lagou.com/jobs/5404306.html
7,西安朗晟法律服务有限公司招聘,高级java开发工程师,10k-18k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-云谷国际,Java,"
岗位职责：1、银行系统项目开发工作；2、参与项目需求分析和总体架构设计, 对项目开发工作提出解决方案；3、根据业务需求进行软件设计、程序编码及相关文档的编写；4、协助测试人员完成软件系统及模块的测试；5、解决日常开发中遇到的技术问题，根据需要不断修改完善软件；6、根据公司技术文档规范编写相应的技术文档以及编写相应的说明书。岗位要求：1、3年以上金融行业工作经验；2、计算机科学、软件工程等相关专业，一本及以上院校本科、硕士学历；3、精通java，熟练使用基于java的开发工具，如：eclipse；4、熟悉J2EE及其相关技术及框架（spring，structs，hibernate等主流开发框架）,掌握java、xml，html和JavaScript等相关技术；5、熟悉oracle、Mysql等数据库及SQL开发；6、具有较好的沟通交流能力，具有合作精神及主动工作精神；7、能够带领专业小组进行开发工作，具有良好的沟通和分析能力；8、精通需求文档编写、设计方案的制定与评审、并拥有解决系统疑难问题的能力；9、有二代支付、渠道、网银或核心等相关金融行业系统软件开发、设计经验者优先;10、要求能适应出差工作（提供差补和带薪休假）;11、积极主动，学习能力强。
",https://www.lagou.com/jobs/5658704.html
8,贝业思招聘,自然语言处理工程师,14k-22k,西安,经验不限,硕士及以上,全职,西安-高新技术产业开发区-沣惠南路-科技二路与沣惠南路十字泰华金贸国际,"移动互联网,大数据,算法,NLP,数据分析","
岗位职责：1.进行自然语言处理基础工具的开发、改进与应用，对于文本进行分类、包括句法分析、知识库构建、主题词识别、自动摘要、语义理解等；2.参与探索深度学习在自然语言处理领域中的应用，实现切实有效的深度学习模型；3.结合应用NLP，AI、ML等技术解决实际问题；4.根据业务要求建立和更新相关词库，以及相关的知识图谱的建设；5.参与搜索系统中的机器学习和语义分析模型开发;6.与产品研发团队协作，将算法融入产品。职位要求：1.NLP、计算机、统计、数学、数据分析等相关专业，硕士及以上学历，有丰富的开发经验者优先；2.对数据敏锐，乐于与数据打交道；3.掌握C/C++/Java/Python等至少一门高级编程语言，对算法和数据结构有深入研究；4.熟悉NLP方向的基本技术、对NLP方向有整体认知，对NLP开源相关技术熟悉；5.掌握机器学习相关知识，有深度学习NLP算法相关知识优先；6.熟悉Tensorflow或者PyTorch等深度学习框架中的一种；
",https://www.lagou.com/jobs/5308882.html
9,活跃网络ESCI招聘,BusinessAnalyst/需求分析,9k-16k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-环普产业园,需求分析,"
Main Responsibilities:
-Closely work with Product Manager for product development;
-Take product feature ownership and manage full life cycle of the requirement;
-Produce and maintain product backlog and participate in or drive sprint planning where appropriate;
-Produce business and use cases where necessary to support product requirements;
-Produce high quality business analysis artifacts in a timely manner, including user story, software requirement specification, functional specification;
-Collaborate with UX & Visual designers for wireframe and visual assets;
-Driving grooming meetings with implementation teams, and play an active role to clarify requirements and decision making to ensure implementation;
-Communicate with customer/support and provide customer support where necessary;

Requirements:
-Excellent English skills;
-Must have strong analytical skills and problem solving skills;
-Must possess excellent written and interpersonal communication skills and be able to effectively communicate across all levels of the organization;
-Experience in requirement management, including requirements gathering, analysis, and specification documentation;
-Ability to assume intellectual ownership and possess strong attention to details and commitment to delivering quality product;
-Ability to work effectively with cross-functional teams and synthesize cross-functional input in a team/collaborative environment;
-Ability to learn and adapt quickly;
-Experience in agile software development and web product design is preferred.
",https://www.lagou.com/jobs/3898061.html
