,company_name,position,salary,location,experience,education,time,location_detail,keyword,description,position_link
0,腾讯云产品部门招聘,西安腾讯云交付管理平台PHP...,15k-30k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-暂定,"PHP,Laravel,Linux/Unix,后端","*岗位职责：负责腾讯云交付管理系统的后台架构的设计与研发

*技术要求：
1、计算机及计算机相关专业本科以上学历
2、精通PHP开发（或C/C++开发有意向转为PHP开发），熟悉larveral框架者优先
3、熟悉Linux操作系统常用操作,熟悉数据库Mysql的设计与研发
4、熟悉网络tcpip协议，深刻理解常用算法
5、对网络安全有深刻理解，了解网络完全问题的解决方案
6、熟悉互联网服务或交付管理系统的开发者优先",https://www.lagou.com/jobs/6818072.html?show=97080f26b98041d19076a19744cf510f
1,源清慧虹招聘,高级前端工程师,15k-30k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-西安市科技二路65号清华科技园G座704室,前端开发,"职位描述  
1. 依据产品需求完成⾼高质量量的 Web 前端开发和维护；
2. 关注⽤用户体验，不断改进产品的易易⽤用性；
3. 丰富的可视化的数据展现；
职位要求
1. 3年年以上Web 前端开发经验
2. 熟练使⽤用 React 或 Vue
3. 具备前端⼯工程化的思维和实践经验
4. 技术事业⼴广阔，能够独立承担项⽬目开发⼯工作；
5. 有可视化经验者优先；
6. 有全栈开发经验者优先；
7. 有 Typescript 经验者优先；",https://www.lagou.com/jobs/7056926.html?show=97080f26b98041d19076a19744cf510f
2,宝兰德软件招聘,Python高级开发（分布式系统）,15k-30k,西安,经验不限,大专及以上,全职,西安-高新技术产业开发区-神州数码科技园4栋11c,"Linux/Unix,分布式,Python","岗位职责：
1、负责大型分布式作业系统后台设计与开发。
2、负责大型分布式作业系统核心代码编写、指导和培训工程师
岗位要求：
1、计算机相关专业专科及以上学历（学信网可查），3年以上后台开发经验；
2、精通Python，3年以上Python后台开发经验，有良好的编码习惯；
3、精通Python服务端编程，精通网络编程；
4、熟悉Django/Tornado等web开发框架；
5、熟悉大型分布式系统设计与开发，并具备MQ、NoSQL实战经验；
6、熟悉Unix/Linux操作系统下的开发，部署，维护等工作；
7、有saltstack二次开发经验者优先；
8、有celery开发经验者优先；
9、具备良好的分析解决问题能力和团队合作能力；
10、具有良好的学习能力，对互联网的新技术有很强的求知欲望；
11、有激情，热爱Python，关注用户体验",https://www.lagou.com/jobs/6914641.html?show=97080f26b98041d19076a19744cf510f
3,华为技术有限公司招聘,Java中高级开发工程师,16k-32k,西安,经验不限,本科及以上,全职,西安-高新技术产业开发区-锦业路127号,"Javascript,Web前端,Java,Golang","职位描述：

学历条件：统招本科及以上毕业,985/211优先

工作经验：中级1-3年，高级3-5年

薪水范围：20K-40K，优秀者面议

工作地点：西安

面试方式：全程远程面试 

职位诱惑：

大平台，高收入，高福利，发展潜力大，新产品起航中

职位描述：

岗位职责

---------------------------

负责华为新一代私有云、数据和存储管控平台的核心功能设计与开发功能，并能够根据业务需求，从高可靠、高性能、可扩展行等方面进行探索。

岗位要求

---------------------------

1.  熟练掌握Java、GoLang及其技术栈，具备较好的编程习惯。并有良好的软件工程师素质或敏捷开发经验者优先考虑。

2.  熟悉主流的Java开发框架如Spring。有微服务，分布式消息队列，数据库，大数据等领域开发经验，或有中大型项目的维护或研发经验者优先考虑。

3.  具有团队合作精神，最好能够熟练使用英文进行沟通。",https://www.lagou.com/jobs/6941756.html?show=97080f26b98041d19076a19744cf510f
4,TCL招聘,Android系统工程师,15k-30k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-西安市高新区锦业一路50号英华达大厦4楼,"C++,C,Android","职责描述：
1、Android系统功能开发及性能优化
2、Android系统问题定位分析及解决
3、Android TV大版本技术预研
4.  Google ATV认证，系统安全性patch维护，测试问题分析及解决


任职资格：
1、本科及以上学历，计算机及相关专业；
2、有过Android系统开发经验，了解Linux kernel或者有过操作系统开发工作经验优先。",https://www.lagou.com/jobs/7079419.html?show=97080f26b98041d19076a19744cf510f
5,蝉鸣招聘,架构师,15k-30k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-国家数字出版基地,"教育,企业服务,架构师","岗位职责：
1、负责系统架构设计、技术可行性研究及选型，参与客户交流和指导项目开发；
2、负责核心模块实现和技术难点攻关，系统性能优化，保证系统安全、稳定；
3、不断改善现有基础设施的服务能力以适应业务发展的需要；
4、前瞻性的规划某个领域的架构设计，容量，和应急预案；
5、指导和培养技术团队工程师，协助提升团队整体技术实力；   
任职资格：
1、计算机相关专业本科及以上学历，5年以上工作经验；
2、具有丰富的系统分析与架构设计经验，熟悉高性能、高并发、高可用性、高扩展性系统架构设计，能够按照产品的发展对技术进行适当的演进；
3、熟悉SpringMVC开发框架，熟悉SpringCloud微服务开发框架，熟悉MySQL数据库开发与设计，熟悉常用分布式缓存、消息队列、搜索、NoSQL数据库，如Redis、MongoDB、RabbitMQ等，并能快速搭建环境和部署应用，有相关项目经验3年以上；
4、具有较强的沟通能力、逻辑思维能力和PPT等文档编写能力，责任心强；   
5、熟悉主流开源中间件，深入了了解实现机制，有大规模分布式系统或者类库的研发经验者优先；
6、熟悉业界企业管理云服务的应用架构模式，参与过应用云服务的应用架构搭建优先；",https://www.lagou.com/jobs/6634554.html?show=97080f26b98041d19076a19744cf510f
6,树根互联技术有限公司招聘,区域售前经理(J10685),18k-30k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-沣惠南路-西咸新区,"云计算,信息安全","工作职责:
1、 面向工业互联网、物联网领域，支持销售、政府GR部门同事完成客户技术交流、客户需求分析、解决方案编制、方案讲解、演示及成本估算及招投标工作，体现整体解决方案差异化，整体价值，建立竞争优势；
2、 代表公司对外进行相关的解决方案以及客户价值的演讲；
3、 具备非常强的需求分析、业务理解能力和方案能力，能独立出具行业解决方案，能够持续的在行业分析、业务规划、技术能力及后续发展提供建议及策略；
4、 具有较强的团队合作意识和管理能力，工作主动、严谨，有良好的沟通协调能力和团队合作精神，责任心强，有较强的抗压能力和良好的职业道德；

任职资格:
1、4年以上工业互联网、物联网联、erp如sap、mes集成项目实施等领域行业解决方案、行业软件等售前到项目实施的工作经验；
2、熟悉离散制造行业如装备制造，机床，高科技设备制造等业务流程，特别是在售后服务以及系统集成实施有丰富经验为佳；
3、过去有超过4个离散制造，特别是装备制造企业的信息化项目实施的经验；
4、具备丰富的PPT方案编写能力以及演讲能力；
5、具有较强的组织、协调、沟通能力，以及一定的抗压能力；
6、出色的沟通能力、需求理解能力；

7、具备良好的形象、气质及商务礼节，具备诚实守信、严谨。

工作地址：西安、武汉、郑州",https://www.lagou.com/jobs/7057485.html?show=97080f26b98041d19076a19744cf510f
7,ThoughtWorkssecurity招聘,C/C++开发工程师,15k-30k,西安,经验5-10年,本科及以上,全职,西安-高新技术产业开发区-天谷八路211号环普科技产业园E座606室,"C++,C",岗位职责：1. 负责对Web、移动应用程序进行安全渗透测试并提供修补建议;2. 负责应用程序安全相关培训等工作；3. 负责对前瞻性安全技术研究及安全漏洞分析；4. 参与创新安全产品、服务、技术的研究。岗位要求：1. 精通C/C++任意一种、熟悉Python、了解或掌握web前后端开发技术；2. 对安全感兴趣，能了解常见攻击技术及方法和漏洞；3. 有较强的分析问题和实际动手能力；4. 有责任感，以及良好的团队合作精神及钻研精神；5. 能熟练阅读、编写基础英文文档，使用英文进行简单沟通。,https://www.lagou.com/jobs/7077059.html?show=97080f26b98041d19076a19744cf510f
8,鲸鱼互动研发部招聘,技术总监,20k-30k,西安,经验3-5年,本科及以上,全职,西安-高新技术产业开发区-科技路48号创业广场B座17层1704室,"广告营销,移动互联网,部门管理,技术管理,目标管理,系统架构","只给你喝汤的公司有很多，愿意让你一起吃肉的公司却很少。加入我们，我们不玩假大空，不玩城里那套路深。


岗位职责：
1、完善和改进广告业务平台的技术架构设计，规划未来广告业务平台的技术发展方向，进行新领域、新产品的前瞻性技术分析、可行性分析及新项目立项；
2、广告业务平台的技术选型和对广告技术团队提供技术指导，对系统框架相关技术和业务进行培训，解决开发中遇到的技术难题；
3、产品或开发型项目整体负责，协调内外部资源，保证产品落地及项目顺利 实施；
4、重点开发项目的计划进行跟踪和控制，确保项目按时保质完成；
5、完善并优化技术团队开发及测试的流程、规范和制度；
6、负责广告技术团队的人员管理及团队升级。
7、评估运营、商务需求，合理安排优先级，推动跨部门协作

任职要求：
1.具有5年以上技术开发经验，有带领不少于20人规模的技术开发团队的经验，主持开发过大型社交网络者优先,。
2、熟悉大型网络技术系统的架构设计、系统分析、软件实现、性能优化及系统安全；
3.精通大型社交网站所需的各项技术要求，有中大型项目负责人的经验并具备较强的管理经验
4.对技术市场具有一定的敏锐度，能够从客户和业务的角度来进行技术实现，并能及时掌握市场发展动态，对公司技术发展能提供决策性的建议；
5.能够把握行业技术发展趋势和业务发展动向，具备强烈的上进心，责任心和敬业精神，具备良好的分析问题和解决问题的能力，优秀的工作进度管理与把控能力能够承受较大工作压力。
6.特殊要求：恪守技术项目开发内容、技术文件、资料保密。",https://www.lagou.com/jobs/4720706.html?show=97080f26b98041d19076a19744cf510f
9,数云未指定部门招聘,系统架构师（西安）,30k-37k,西安,经验不限,学历不限,全职,西安-高新技术产业开发区-高新三路人保金融大厦1807室,"后端,分布式","1、负责/参与相关系统的设计、重构、优化，根据业务规划及技术规划制定应用架构方案
2、负责/参与核心功能的架构与代码模板编写，开发与维护系统公用核心模块
3、负责/参与业务平台架构搭建，参与各项研发规范的制定和基础研发环境的搭建
4、负责/参与开发人员的技术指导、培训，解决各类技术疑难问题，参与技术难题攻关
5、负责/参与代码评审与设计评审工作，把握复杂系统的设计，有能力解决高并发、海量数据等引起的一系列技术问题
6、负责/参与公司分配的其他工作职位要求
7、跟踪并研究，为团队引入新的技术、解决方案和思路

岗位要求：
1、本科及以上计算机软件或相关专业，六年以上工作经验，其中四年以上一线开发经验，两年以上大型互联网站架构师或相关岗位的工作经验
2、精通Java语言，对JVM原理有一定的了解，对各种主流Java开源框架如SpringMVC、Mybatis等有深入的应用和优化经验，对框架本身有过开发或重构者优先
3、熟悉集群、缓存、消息、负载均衡等机制和实现，熟悉网站优化，服务器优化、系统性能调优，有高并发，高性能的网站实践经验
4、对sql优化有丰富的经验，精通高并发、大数据量的Mysql数据库的sql开发
5、熟练使用linux系统，了解常用的linux系统优化方法和工具
6、勤奋好学，有很强的学习能力和进取心，良好的沟通能力、团队合作精神，具有高度的责任感，能够承受工作压力
7、良好的逻辑思维能力，熟悉业务抽象和数据模型设计，具有很强的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情

8、知识面广，思路开阔，创新能力强，在一项技术上有很深入的了解，对技术前沿的新技术持有敏感性，乐于探索和研究最新的技术并与人分享",https://www.lagou.com/jobs/7043685.html?show=97080f26b98041d19076a19744cf510f
