,review_count,review_rate,comment_url
0,6883,99.5%,https://www.mi.com/comment/11192.html
1,36657,99.7%,https://www.mi.com/comment/10909.html
2,56660,99.6%,https://www.mi.com/comment/9682.html
3,10,100.0%,https://www.mi.com/comment/11855.html
4,82233,99.4%,https://www.mi.com/comment/9668.html
5,57131,99.5%,https://www.mi.com/comment/9685.html
6,12846,99.7%,https://www.mi.com/comment/10916.html
7,35695,99.7%,https://www.mi.com/comment/10126.html
8,22530,99.7%,https://www.mi.com/comment/10911.html
9,9298,99.7%,https://www.mi.com/comment/10746.html
10,36000,99.6%,https://www.mi.com/comment/9680.html
11,2759,99.2%,https://www.mi.com/comment/11196.html
12,3496,99.4%,https://www.mi.com/comment/11195.html
13,5164,99.6%,https://www.mi.com/comment/11193.html
14,3706,99.4%,https://www.mi.com/comment/9919.html
15,1504,99.5%,https://www.mi.com/comment/9920.html
16,8042,99.1%,https://www.mi.com/comment/8990.html
17,75,97.4%,https://www.mi.com/comment/11194.html
18,17074,99.7%,https://www.mi.com/comment/10767.html
19,21806,99.6%,https://www.mi.com/comment/10875.html
